   0.36948,   0.46370,   0.00575,   0.32258,   0.38710,   0.36306,   0.36387,   0.40991,   0.00000
   0.44434,   0.56728,   0.00539,   0.15323,   0.49104,   0.42675,   0.38083,   0.52526,   1.00000
   0.36564,   0.45692,   0.00590,   0.31855,   0.66667,   0.59873,   0.41391,   0.36225,   1.00000
   0.25336,   0.32527,   0.00657,   0.32258,   0.50179,   0.42675,   0.25360,   0.29552,   0.00000
   0.40595,   0.46854,   0.00772,   0.50403,   0.32975,   0.32272,   0.43257,   0.39085,   0.00000
   0.46929,   0.54114,   0.00707,   0.42742,   0.28674,   0.32272,   0.49958,   0.50429,   0.00000
   0.46065,   0.54017,   0.00500,   0.38710,   0.21147,   0.32272,   0.44020,   0.50429,   0.00000
   0.25528,   0.35334,   0.01004,   0.31855,   0.70609,   0.51168,   0.34690,   0.27645,   0.00000
   0.21209,   0.30010,   0.01320,   0.18952,   0.52330,   0.36306,   0.18490,   0.29552,   0.00000
   0.25912,   0.36496,   0.01298,   0.10081,   0.32616,   0.17410,   0.24427,   0.29552,   1.00000
   0.28311,   0.36399,   0.01110,   0.36694,   0.23297,   0.17410,   0.27990,   0.30505,   1.00000
   0.30134,   0.38045,   0.00860,   0.47177,   0.17563,   0.17410,   0.38931,   0.31363,   0.00000
   0.34165,   0.45015,   0.00800,   0.16935,   0.17921,   0.17410,   0.36387,   0.35367,   0.00000
   0.46449,   0.60116,   0.00522,   0.03629,   0.23297,   0.27813,   0.40628,   0.53384,   1.00000
   0.28887,   0.36980,   0.00942,   0.31048,   0.66667,   0.51168,   0.37320,   0.29552,   0.00000
   0.17946,   0.24782,   0.01154,   0.38306,   0.37993,   0.42675,   0.22816,   0.21926,   0.00000
   0.28311,   0.36399,   0.00842,   0.29839,   0.35842,   0.44586,   0.27057,   0.30505,   0.00000
   0.19386,   0.24105,   0.01132,   0.33871,   0.45161,   0.42675,   0.21120,   0.20972,   0.00000
   0.21017,   0.27493,   0.01145,   0.27419,   0.48029,   0.42675,   0.22053,   0.26787,   0.00000
   0.21209,   0.31268,   0.00964,   0.20968,   0.34409,   0.29724,   0.22816,   0.22784,   1.00000
   0.15835,   0.24298,   0.01103,   0.17339,   0.25448,   0.17410,   0.23664,   0.16111,   1.00000
   0.38868,   0.52178,   0.00849,   0.03226,   0.34409,   0.34395,   0.36387,   0.39943,   1.00000
   0.17370,   0.25557,   0.01136,   0.21371,   0.64158,   0.42675,   0.22816,   0.20972,   1.00000
   0.13916,   0.22168,   0.01300,   0.19355,   0.50538,   0.34395,   0.13486,   0.21926,   0.00000
   0.19098,   0.28074,   0.01158,   0.32258,   0.35484,   0.23567,   0.22053,   0.23832,   0.00000
   0.29079,   0.39206,   0.00836,   0.16129,   0.32975,   0.51168,   0.24427,   0.36225,   1.00000
   0.19866,   0.29526,   0.00920,   0.13710,   0.78853,   0.61996,   0.22816,   0.22784,   0.00000
   0.08829,   0.15392,   0.01357,   0.45968,   0.38710,   0.23567,   0.09160,   0.13346,   0.00000
   0.08733,   0.13456,   0.01150,   0.59677,   0.43011,   0.44586,   0.17727,   0.10486,   0.00000
   0.22841,   0.31462,   0.00895,   0.43145,   0.27599,   0.23567,   0.33757,   0.24690,   0.00000
   0.21209,   0.28654,   0.01081,   0.45565,   0.29391,   0.32272,   0.25360,   0.20972,   0.00000
   0.12476,   0.19167,   0.01156,   0.36290,   0.39068,   0.32272,   0.20356,   0.14204,   0.00000
   0.32630,   0.42788,   0.00818,   0.20161,   0.36559,   0.29724,   0.28753,   0.31363,   1.00000
